Compound,Date,Negative,Neutral,Positive,Text
0.0,Mon Mar 12 12:19:24 +0000 2018,1.0,0.0,0.0,RT @BBCWorld: Miami nightclub shut over horse stunt https://t.co/j4SjWAyDWo
0.0,Mon Mar 12 12:00:09 +0000 2018,1.0,0.0,0.0,"? If you’ve ever been ‘in a pickle’, waited ‘with bated breath’, or gone on ‘a wild goose chase’, then you’ve been… https://t.co/iAh1LB98DU"
-0.6542,Mon Mar 12 10:58:16 +0000 2018,0.709,0.225,0.066,"RT @BBCFOUR: Two common hair straightener temperatures: one's fine, but the other will destroy your hair... https://t.co/BEaLyTWdzy"
0.7579,Mon Mar 12 10:55:19 +0000 2018,0.647,0.071,0.282,"RT @bbcthree: ""It's great to go to the court knowing there's no ban... I'm still able to practice my faith while playing basketball.""  #per…"
-0.5255,Mon Mar 12 10:52:55 +0000 2018,0.841,0.159,0.0,"RT @BBCNewsround: Have you been using emojis wrong this whole time? ?Yep, apparently there's an official definition now! https://t.co/Xiwan…"
0.2433,Mon Mar 12 09:58:30 +0000 2018,0.696,0.119,0.185,"? Sir Ken Dodd, creator of the Diddy Men and one of the most popular comedians of his time, has died aged 90.
?… https://t.co/Yw0hzqKjyK"
-0.1531,Mon Mar 12 09:00:06 +0000 2018,0.545,0.264,0.191,Is this a 'luxury prison' or the best way to prepare offenders for life outside? https://t.co/uqQZwyCC6S
0.2732,Mon Mar 12 08:30:04 +0000 2018,0.687,0.133,0.18,"? Poor, rural societies which ate high-quality, local foods had the best diet and health in mid-Victorian Britain.… https://t.co/P4N0lA74ch"
0.0516,Mon Mar 12 08:00:05 +0000 2018,0.64,0.174,0.186,3 out of 4 parents wouldn’t be able to save their baby from choking. https://t.co/pxYSvLtkBN
0.6068,Sun Mar 11 21:39:32 +0000 2018,0.763,0.0,0.237,"RT @bbcthree: ""I felt completely overwhelmed and amazed as soon as he was put on my chest."" https://t.co/3FOgymPjhQ"
0.6908,Sun Mar 11 21:22:19 +0000 2018,0.678,0.0,0.322,"?? Catch the best performances, exclusive backstage footage and photos from #AsianNetworkLive2018 at… https://t.co/nWlJnU6AX9"
0.3612,Sun Mar 11 21:02:37 +0000 2018,0.848,0.0,0.152,"RT @BBCOne: Here's to the memories. ??
Thank you for watching #CallTheMidwife with us. https://t.co/G1h78O8Qya"
0.861,Sun Mar 11 20:00:07 +0000 2018,0.57,0.0,0.43,"Join host @TessDaly for a very special event honouring one of this country's biggest and best-loved entertainers, S… https://t.co/Cym8TQlXhE"
0.765,Sun Mar 11 19:54:20 +0000 2018,0.662,0.048,0.29,"RT @bbcouch: ‘I couldn’t reach Millie in her toughest year’

@knight_millie may be celebrating her second silver medal at the Winter Paraly…"
0.296,Sun Mar 11 19:52:28 +0000 2018,0.767,0.097,0.137,RT @bbcsoutheast: It’s with great sadness we have to report that our sports reporter Neil Bell passed away in the early hours of Sunday mor…
0.4939,Sun Mar 11 19:51:36 +0000 2018,0.868,0.0,0.132,RT @BBCBreakfast: Mary Beard's documentaries about the Romans have brought their ancient world to life - now she's turning her hand to the…
-0.7481,Sun Mar 11 19:51:25 +0000 2018,0.715,0.285,0.0,"RT @BBCiPlayer: I will not allow that man...that nobody...to kill my brother twice. #ACSVersace, now on BBC iPlayer: https://t.co/M1ixQKBH3…"
0.0,Sun Mar 11 19:51:12 +0000 2018,1.0,0.0,0.0,RT @BBCOne: Mums have to put up with some right rubbish. https://t.co/mN7f23pPub
0.0,Sun Mar 11 19:50:11 +0000 2018,1.0,0.0,0.0,RT @BBCSpringwatch: Actual Mother's Day sibling selfie ??????  #selfie #mothersday #motheringsunday #sunday #winterwatch #wildlife #littleo…
0.0,Sun Mar 11 19:49:56 +0000 2018,1.0,0.0,0.0,RT @cbbc: Tanya Muzinda is on a mission to conquer the motocross world. Follow her story Monday 5.30pm ??? https://t.co/Z9w1GJZS45
-0.5994,Sun Mar 11 19:00:03 +0000 2018,0.837,0.163,0.0,"'That was the end of my childhood.'

?Money saving expert @MartinSLewis opens up about the death of his mum, three… https://t.co/zFdD7gDBmH"
